,username,content
0,mintstrums,'i only learned the term DAU from Start-Up K-drama 🤣 Lesgo Axie DAU! https://t.co/RYxEHPLBua'
1,MeteorQuotes,"'""Running a start-up is like eating glass. You just start to like the taste of your own blood."" #motivation #quote'"
2,zonacycling,'Israel Start-Up Nation put on an impressive team effort on stage 9 of the Tour de France
3,will__ovo,'@andretrocas essa é uma ótima ideia na verdade
4,yuntoto,'Start-up yang gak onlen-onlenan\n\nThese 3 startups are powering Malaysia’s next industrial revolution https://t.co/lrnxCi11nm'
5,Steviebear_12,'@TheHQNerd No
6,BandFanatics,'And Please Still Be On The Look-Out For Our Indiegogo Start-Up Fundraising Page This Thursday! \n\n#RT'
7,bebokari,'the whole twice references in start-up lmao i love that https://t.co/YKDAEavovZ'
8,lmjasmn,'eu peguei tanta raiva do personagem dele em start-up que nunca mais consegui assistir algo que tem ele 🤡 https://t.co/iIgwjjORDf'
9,bandlakz,'Start-up. More of a businessman than an artist to me https://t.co/M8zo3r0Wti'
10,IovebeIIs,'@stillwithjw Remember when start-up was ruining our lives'
11,harrisomoore1,"@davidgokhshtein For the past 4 weeks I've been trading consistently with Cassie brown strategy. My start-up capital was 0.5 btc, now my portfolio is currently at 5.5 Btc minus the recent dump! Contact her now @cassiesignalss"
12,_CherryBloo,'Love  alarm et start-up c´est pour me finir https://t.co/oOwbvjXtQL'
13,hellenfabiola,"'""El código de la discordia"": excelente miniserie alemana que narra cómo el gigante Google le robó  el algoritmo a Art+Com (uno de los primeros start-up de Alemania) para ""crear"" google earth.\n\n https://t.co/9Husl6tcG1'"
14,PharmiWebJobs,'Latest Job! Start-Up Lead\n - ICON\n - Czech Republic
15,PharmiWebJobs,'Latest Job! Manager of Study Start-Up\n - ICON\n - Italy (IT)
16,hyyhagos,'20 min para que termine y no tengo idea de con quien se va a quedar start-up aprendé'
17,salpimentaba,'Food4You
18,Rasheeddoseni,'@ChepkwonyPC @agazdecki depends on the start-up'
19,ReflectingMan,'Prince Harry’s BetterUp tech start-up trebles in value - The Times of London https://t.co/A9w2gdyoZr'
20,meoaui,'Now I wanna finish Start-Up even tho I already know how it ended 😅'
21,FirstHenri,'Elle est belle
22,theroyaleditor,'BetterUp is better off! Rich backers send the value of mental health start-up that hired Prince Harry soaring to £3bn\nvia https://t.co/1EAkejioZW https://t.co/H5Kh5qOsIk'
23,CoolXDeeP,'7 Questions that every start-up must answer in order to survive.\n\n-by Peter Thiel (Co-founder PayPal &amp; Palantir)'
24,eurojournalENG,'Rich backers send value of mental health start-up that hired Prince Harry soaring to\xa0£3bn https://t.co/b6bvhmDfi2'
25,ErrolNazareth,'Solid piece
26,JohnLothian,'ConsenSys funding round would value crypto start-up at $3bn | Financial Times https://t.co/xk2cV6YrX4'
27,luckyhwng,i'm almost done with start-up and after i will watch either hometown chachacha or nevertheless
28,iamCameka,'Serena Williams’ Venture Capital Fund and Others Invest $1.6M In Minority-Focused Healthcare Start-Up
29,CCoggie,"After I moved &amp; some other things, I quit writing for a local WA magazine start-up. It shows. The heart of the written pieces is brilliant, as usual. But the magazine still needs proofing, badly. Alas, nobody cares. People can't spell anymore and it doesn't matter w/emojis."
30,sysop408,"@it_junkie_ FWIW, I do believe in the value of NFTs and crypto as technologies, but as someone who had fake fuck you money as employee #60 of a dot-com start-up, I'm better qualified than most to warn that valuation that explodes in a vacuum eventually reconciles with reality."
31,StartUpbot4,'〜Start-upの家族紹介〜\n【ポリリズム】\n2ndアルバムGAMEとベストアルバムLove the Worldの一曲目。\nPerfumeを日本で売れさせ海外に進出させた絶対神である。\nポリリズムは音楽用語であり決してポリ袋でもポリマー(重合体)でもない。'
32,_auTOBIographer,'A start-up rescinded a job offer from my Black friend after they saw her and told her they didn’t think it was a culture fit because she was “the right pair of jeans
